station_zone,station_id,level_code,latitude,longitude,depth,tara_nitrate,ebi_nitrate,darwin_nitrate,nitrate,tara_temperature,ebi_temperature,temperature,tara_salinity_level,ebi_salinity_level,salinity,tara_oxygen_level,ebi_oxygen_level,darwin_oxygen_level,oxygen,darwin_alkalinity
Station100_DCM,Station100,DCM,-12.9657361502347,-96.0329093896714,98.9906103286385,0.709413427230047,8.68217627272727,8.25742286259542,0.709413427230047,19.8024746478873,17.7939434545455,19.8024746478873,35.625834741784,35.2781735454545,35.625834741784,225.440711737089,139.364463090909,223.350658778626,225.440711737089,2042.24630610687
Station100_SUR,Station100,SUR,-12.9845126760563,-96.0036450704225,4.83802816901408,4.74038148148148,4.590737,5.89248800704225,4.79178132394366,25.25802,25.2512,25.25802,36.0042488888889,35.835267,36.0042488888889,200.839667407407,200.233917,208.838228661972,201.218676830986,2012.44495422535
Station102_DCM,Station102,DCM,-5.26762748091603,-85.2592786259542,40,14.2098,18.5282185714286,16.99654,14.2098,21.4405,20.6735484285714,21.4405,35.0429,34.8688757142857,35.0429,131.4125,122.953236857143,153.94595,131.4125,2138.199
Station102_MES,Station102,MES,-5.26167027027027,-85.1765459459459,480,16.630427027027,40.008967,NA,16.630427027027,19.7817378378378,9.195825,19.7817378378378,34.9978243243243,34.69255,34.9978243243243,115.338267567568,4.42525,NA,115.338267567568,NA
Station102_SUR,Station102,SUR,-5.25382183098592,-85.182676056338,4.87323943661972,11.1957330882353,11.7927391428571,6.780498,11.0091738591549,24.7302367647059,24.9912997142857,24.7302367647059,34.9069823529412,34.756469,34.9069823529412,206.618607352941,205.692321142857,214.05487,206.932815633803,2086.2563
Station109_DCM,Station109,DCM,2.02688333333333,-84.5604047619048,33.5714285714286,4.75839126984127,3.08269185714286,12.6166119285714,4.75839126984127,26.1897865079365,26.840165,26.1897865079365,34.591296031746,34.0920571428571,34.591296031746,200.723523015873,203.125281428571,175.489927857143,200.723523015873,2094.81016428571
Station109_SUR,Station109,SUR,2.01221904761905,-84.5708380952381,5,0.956717857142857,0.993372,5.6671575,0.956717857142857,27.7205071428571,27.6988748571429,27.7205071428571,33.4650571428571,33.3128142857143,33.4650571428571,199.629442857143,198.996714142857,210.728648571429,199.629442857143,1979.20227857143
Station11_SUR,Station11,SUR,41.6678747252747,2.79903736263736,5,NA,NA,15.168049,15.168049,NA,NA,NA,NA,NA,NA,NA,NA,219.75732,219.75732,2106.7417
Station111_DCM,Station111,DCM,-16.9632094017094,-100.677630769231,90,2.43379692307692,1.69680171428571,NA,2.43379692307692,20.3650914529915,20.0427104285714,20.3650914529915,35.8983931623932,35.7042084285714,35.8983931623932,212.816630769231,211.595229714286,NA,212.816630769231,NA
Station111_MES,Station111,MES,-16.9486,-100.6715,350.405797101449,18.9135,30.409013,NA,18.9135,12.7489,10.893125,12.7489,34.8309,34.698369,34.8309,54.3165,3.171063,NA,54.3165,NA
