sample_id,station_id,latitude,longitude,level_code,tara_nitrate_level,ebi_nitrate_level,darwin_nitrate_level,nitrate_level,tara_temperature,ebi_temperature,temperature,tara_salinity_level,ebi_salinity_level,salinity_level,tara_oxygen_level,ebi_oxygen_level,darwin_oxygen_level,oxygen_level,darwin_alkalinity
TARA_G100000341,TARA_039,18.5702,66.4861,DCM,-0.512730,,14.285589,-0.512730,26.266500,,26.266500,36.681900,,36.681900,164.101000,,206.210340,164.101000,1904.011700
TARA_G100000353,TARA_039,18.5702,66.4861,DCM,-0.512730,,14.285589,-0.512730,26.266500,,26.266500,36.681900,,36.681900,164.101000,,206.210340,164.101000,1904.011700
TARA_G100000419,TARA_039,18.5584,66.4725,DCM,-0.512730,,14.285589,-0.512730,26.266500,,26.266500,36.681900,,36.681900,164.101000,,206.210340,164.101000,1904.011700
TARA_G100000426,TARA_039,18.5667,66.5220,SRF,-0.860450,,14.196328,-0.860450,26.801500,,26.801500,36.457000,,36.457000,194.021100,,205.054870,194.021100,1905.315100
TARA_G100000444,TARA_039,18.5667,66.5220,SRF,-0.860450,,14.196328,-0.860450,26.801500,,26.801500,36.457000,,36.457000,194.021100,,205.054870,194.021100,1905.315100
TARA_G100000447,TARA_039,18.5918,66.6220,SRF,-0.860450,,14.196328,-0.860450,26.801500,,26.801500,36.457000,,36.457000,194.021100,,205.054870,194.021100,1905.315100
TARA_G100000563,TARA_038,19.0284,64.5126,DCM,1.081000,,14.591483,1.081000,25.777700,,25.777700,0.000000,,,146.548700,,208.617860,146.548700,1903.776500
TARA_G100000567,TARA_038,19.0284,64.5126,DCM,1.081000,,14.591483,1.081000,25.777700,,25.777700,0.000000,,,146.548700,,208.617860,146.548700,1903.776500
TARA_G100000794,TARA_036,20.8070,63.5130,DCM,0.290250,,14.650962,0.290250,24.998400,,24.998400,36.695500,,36.695500,192.992700,,211.743320,192.992700,1903.733900
TARA_G100000828,TARA_036,20.8183,63.5047,SRF,0.000000,,14.471829,14.471829,25.511900,,25.511900,36.703500,,36.703500,0.000000,,210.309250,210.309250,1906.030600
TARA_G100000855,TARA_036,20.8183,63.5047,SRF,0.000000,,14.471829,14.471829,25.511900,,25.511900,36.703500,,36.703500,0.000000,,210.309250,210.309250,1906.030600
TARA_G100000911,TARA_034,18.3983,39.8617,DCM,-0.392680,,19.367791,-0.392680,27.671300,,27.671300,38.815900,,38.815900,183.759200,,191.851750,183.759200,1990.571700
